num_critic_for_reviews,gross,genres,movie_title,num_voted_users,num_user_for_reviews,language,country,budget,title_year,imdb_score,aspect_ratio
300,373377893,Action|Adventure|Fantasy|Romance,Spider-Man 2?,411164,1303,English,USA,200000000,2004,7.3,2.35
608,408992272,Action|Adventure|Sci-Fi,Iron Man 3?,557489,1187,English,USA,200000000,2013,7.2,2.35
451,334185206,Adventure|Family|Fantasy,Alice in Wonderland?,306320,736,English,USA,200000000,2010,6.5,1.85
334,234360014,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: The Last Stand?,383427,1912,English,Canada,210000000,2006,6.8,2.35
376,268488329,Adventure|Animation|Comedy|Family|Fantasy,Monsters University?,235025,265,English,USA,200000000,2013,7.3,1.85
366,402076689,Action|Adventure|Sci-Fi,Transformers: Revenge of the Fallen?,323207,1439,English,USA,200000000,2009,6,2.35
378,245428137,Action|Adventure|Sci-Fi,Transformers: Age of Extinction?,242420,918,English,USA,210000000,2014,5.7,2.35
525,234903076,Adventure|Family|Fantasy,Oz the Great and Powerful?,175409,511,English,USA,215000000,2013,6.4,2.35
495,202853933,Action|Adventure|Fantasy|Sci-Fi,The Amazing Spider-Man 2?,321227,1067,English,USA,200000000,2014,6.7,2.35
469,172051787,Action|Adventure|Sci-Fi,TRON: Legacy?,264183,665,English,USA,170000000,2010,6.8,2.35
304,191450875,Adventure|Animation|Comedy|Family|Sport,Cars 2?,101178,283,English,USA,200000000,2011,6.3,2.35
436,116593191,Action|Adventure|Sci-Fi,Green Lantern?,223393,550,English,USA,200000000,2011,5.6,2.35
453,414984497,Adventure|Animation|Comedy|Family|Fantasy,Toy Story 3?,544884,733,English,USA,200000000,2010,8.3,1.85
422,125320003,Action|Adventure|Sci-Fi,Terminator Salvation?,286095,974,English,USA,200000000,2009,6.6,2.35
424,350034110,Action|Crime|Thriller,Furious 7?,278232,657,English,USA,190000000,2015,7.2,2.35
654,202351611,Action|Adventure|Horror|Sci-Fi|Thriller,World War Z?,465019,995,English,USA,190000000,2013,7,2.35
539,233914986,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: Days of Future Past?,514125,752,English,USA,200000000,2014,8,2.35
590,228756232,Action|Adventure|Sci-Fi,Star Trek Into Darkness?,395573,1171,English,USA,190000000,2013,7.8,2.35
338,65171860,Adventure|Fantasy,Jack the Giant Slayer?,106416,205,English,USA,195000000,2013,6.3,2.35
490,144812796,Drama|Romance,The Great Gatsby?,362912,753,English,Australia,105000000,2013,7.3,2.35
306,90755643,Action|Adventure|Fantasy|Romance,Prince of Persia: The Sands of Time?,222403,453,English,USA,200000000,2010,6.6,2.35
575,101785482,Action|Adventure|Sci-Fi,Pacific Rim?,381148,1106,English,USA,190000000,2013,7,1.85
428,352358779,Action|Adventure|Sci-Fi,Transformers: Dark of the Moon?,326180,899,English,USA,195000000,2011,6.3,2.35
470,317011114,Action|Adventure|Fantasy,Indiana Jones and the Kingdom of the Crystal Skull?,333847,2054,English,USA,185000000,2008,6.2,2.35
488,237282182,Adventure|Animation|Comedy|Family|Fantasy,Brave?,273556,428,English,USA,185000000,2012,7.2,2.35
322,130468626,Action|Adventure|Sci-Fi|Thriller,Star Trek Beyond?,53607,432,English,USA,185000000,2016,7.5,2.35
421,223806889,Adventure|Animation|Family|Sci-Fi,WALL??,718837,1043,English,USA,180000000,2008,8.4,2.35
162,140080850,Action|Comedy|Crime|Thriller,Rush Hour 3?,121084,221,English,USA,140000000,2007,6.2,2.35
367,166112167,Action|Adventure|Sci-Fi,2012?,283418,1055,English,USA,200000000,2009,5.8,2.35
240,137850096,Animation|Drama|Family|Fantasy,A Christmas Carol?,72809,249,English,USA,200000000,2009,6.8,2.35
384,47375327,Action|Adventure|Sci-Fi,Jupiter Ascending?,139593,720,English,USA,176000000,2015,5.4,2.35
248,124051759,Action|Adventure|Drama|Romance,The Legend of Tarzan?,42372,239,English,USA,180000000,2016,6.6,2.35
284,291709845,Adventure|Family|Fantasy,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe?",286506,1463,English,USA,180000000,2005,6.9,2.35
396,154985087,Action|Adventure|Sci-Fi,X-Men: Apocalypse?,148379,622,English,USA,178000000,2016,7.3,2.35
645,533316061,Action|Crime|Drama|Thriller,The Dark Knight?,1676169,4667,English,USA,185000000,2008,9,2.35
408,292979556,Adventure|Animation|Comedy|Family,Up?,665575,704,English,USA,175000000,2009,8.3,1.85
219,198332128,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Monsters vs. Aliens?,114553,187,English,USA,175000000,2009,6.5,2.35
486,318298180,Action|Adventure|Sci-Fi,Iron Man?,696338,1055,English,USA,140000000,2008,7.9,2.35
682,73820094,Adventure|Drama|Family|Mystery,Hugo?,245333,678,English,USA,170000000,2011,7.5,1.85
85,113745408,Action|Comedy|Sci-Fi|Western,Wild Wild West?,129601,648,English,USA,170000000,1999,4.8,1.85
264,102176165,Action|Adventure|Fantasy|Horror|Thriller,The Mummy: Tomb of the Dragon Emperor?,117927,501,English,USA,145000000,2008,5.2,2.35
418,161087183,Action|Adventure|Comedy|Sci-Fi,Suicide Squad?,118992,971,English,USA,175000000,2016,6.9,2.35
186,100289690,Comedy|Family|Fantasy,Evan Almighty?,115099,257,English,USA,175000000,2007,5.4,2.35
585,100189501,Action|Adventure|Sci-Fi,Edge of Tomorrow?,431620,741,English,USA,178000000,2014,7.9,2.35
91,88246220,Action|Adventure|Sci-Fi|Thriller,Waterworld?,144337,309,English,USA,175000000,1995,6.1,1.85
250,150167630,Action|Adventure|Sci-Fi|Thriller,G.I. Joe: The Rise of Cobra?,174578,534,English,USA,175000000,2009,5.8,2.35
536,356454367,Adventure|Animation|Comedy|Drama|Family|Fantasy,Inside Out?,345198,773,English,USA,175000000,2015,8.3,1.85
370,362645141,Adventure|Drama|Family|Fantasy,The Jungle Book?,106072,398,English,UK,175000000,2016,7.8,1.85
453,312057433,Action|Adventure|Sci-Fi,Iron Man 2?,522371,723,English,USA,200000000,2010,7,2.35
416,155111815,Action|Adventure|Drama|Fantasy,Snow White and the Huntsman?,228554,710,English,USA,170000000,2012,6.1,2.35
401,241407328,Action|Adventure|Family|Fantasy|Romance,Maleficent?,252257,634,English,USA,180000000,2014,7,2.35
521,208543795,Action|Adventure|Drama|Sci-Fi,Dawn of the Planet of the Apes?,317542,620,English,USA,170000000,2014,7.6,1.85
218,38297305,Action|Adventure|Drama|Fantasy,47 Ronin?,116994,324,English,USA,175000000,2013,6.3,2.35
576,259746958,Action|Adventure|Sci-Fi,Captain America: The Winter Soldier?,496749,742,English,USA,170000000,2014,7.8,2.35
226,238371987,Adventure|Animation|Comedy|Family|Fantasy,Shrek Forever After?,138661,173,English,USA,165000000,2010,6.4,2.35
443,93417865,Action|Adventure|Family|Mystery|Sci-Fi,Tomorrowland?,128306,497,English,USA,190000000,2015,6.5,2.2
384,222487711,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Big Hero 6?,279093,433,English,USA,165000000,2014,7.9,2.39
377,189412677,Adventure|Animation|Comedy|Family|Sci-Fi,Wreck-It Ralph?,272534,345,English,USA,165000000,2012,7.8,2.35
188,665426,Adventure|Animation|Family|Fantasy,The Polar Express?,120798,444,English,USA,165000000,2004,6.6,2.35
286,102315545,Action|Adventure|Sci-Fi,Independence Day: Resurgence?,58137,520,English,USA,165000000,2016,5.5,2.35
288,217387997,Adventure|Animation|Family|Fantasy,How to Train Your Dragon?,485430,492,English,USA,165000000,2010,8.2,2.35
280,150350192,Action|Sci-Fi,Terminator 3: Rise of the Machines?,305340,1676,English,USA,200000000,2003,6.4,2.35
653,333130696,Action|Adventure|Sci-Fi,Guardians of the Galaxy?,682155,1097,English,USA,170000000,2014,8.1,2.35
712,187991439,Adventure|Drama|Sci-Fi,Interstellar?,928227,2725,English,USA,165000000,2014,8.6,2.35
642,292568851,Action|Adventure|Sci-Fi|Thriller,Inception?,1468200,2803,English,USA,160000000,2010,8.8,2.35
187,144512310,Action|Crime|Thriller,The Fast and the Furious?,272223,988,English,USA,38000000,2001,6.7,2.35
362,127490802,Drama|Fantasy|Romance,The Curious Case of Benjamin Button?,459346,822,English,USA,150000000,2008,7.8,2.35
500,146405371,Action|Adventure|Sci-Fi,X-Men: First Class?,518537,698,English,USA,160000000,2011,7.8,2.35
389,281666058,Adventure|Sci-Fi,The Hunger Games: Mockingjay - Part 2?,166137,383,English,USA,160000000,2015,6.6,2.35
235,63143812,Action|Adventure|Family|Fantasy,The Sorcerer's Apprentice?,124185,238,English,USA,150000000,2010,6.1,2.35
231,60655503,Action|Adventure|Drama|Thriller,Poseidon?,82380,629,English,USA,160000000,2006,5.6,2.35
218,76846624,Adventure|Family|Fantasy,Alice Through the Looking Glass?,21352,131,English,USA,170000000,2016,6.4,1.85
227,320706665,Adventure|Animation|Comedy|Family|Fantasy,Shrek the Third?,211971,326,English,USA,160000000,2007,6.1,1.85
275,46978995,Action|Adventure|Fantasy,Warcraft?,111609,781,English,USA,160000000,2016,7.3,2.35
474,89732035,Action|Adventure|Sci-Fi,Terminator Genisys?,188457,867,English,USA,155000000,2015,6.6,2.35
228,104383624,Adventure|Family|Fantasy,The Chronicles of Narnia: The Voyage of the Dawn Treader?,106446,227,English,USA,155000000,2010,6.3,1.78
191,198539855,Action|Drama|History|Romance|War,Pearl Harbor?,254111,1999,English,USA,140000000,2001,6.1,2.35
396,318759914,Action|Adventure|Sci-Fi,Transformers?,513158,1782,English,USA,150000000,2007,7.1,2.35
248,34293771,Action|Adventure|Biography|Drama|History|Romance|War,Alexander?,138863,1390,English,Germany,155000000,2004,5.5,2.35
329,292000866,Adventure|Family|Fantasy|Mystery,Harry Potter and the Order of the Phoenix?,355137,1108,English,UK,150000000,2007,7.5,2.35
295,289994397,Adventure|Family|Fantasy|Mystery,Harry Potter and the Goblet of Fire?,385670,1896,English,UK,150000000,2005,7.6,2.35
318,227946274,Action|Drama,Hancock?,343648,590,English,USA,150000000,2008,6.4,2.35
323,256386216,Drama|Horror|Sci-Fi,I Am Legend?,530870,1413,English,USA,150000000,2007,7.2,2.35
276,206456431,Adventure|Comedy|Family|Fantasy,Charlie and the Chocolate Factory?,320284,1361,English,USA,150000000,2005,6.7,1.85
318,206435493,Animation|Comedy|Family|Fantasy,Ratatouille?,473887,626,English,USA,150000000,2007,8,2.35
478,205343774,Action|Adventure,Batman Begins?,980946,2685,English,USA,150000000,2005,8.3,2.35
167,179982968,Action|Adventure|Animation|Comedy|Family,Madagascar: Escape 2 Africa?,146019,119,English,USA,150000000,2008,6.7,1.85
185,177243721,Adventure|Comedy|Family|Fantasy,Night at the Museum: Battle of the Smithsonian?,130272,209,English,USA,150000000,2009,5.9,2.35
350,179883016,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men Origins: Wolverine?,361924,641,English,USA,150000000,2009,6.7,2.35
245,139259759,Action|Sci-Fi,The Matrix Revolutions?,364948,2121,English,Australia,150000000,2003,6.7,2.35
406,400736600,Adventure|Animation|Comedy|Family|Fantasy|Musical,Frozen?,421658,904,English,USA,150000000,2013,7.6,2.24
275,281492479,Action|Sci-Fi,The Matrix Reloaded?,421818,2789,English,USA,150000000,2003,7.2,2.35
486,206360018,Action|Adventure|Fantasy,Thor: The Dark World?,414070,532,English,USA,170000000,2013,7.1,2.35
739,153629485,Action|Adventure|Sci-Fi|Thriller,Mad Max: Fury Road?,552503,1588,English,Australia,150000000,2015,8.1,2.35
298,133375846,Mystery|Thriller,Angels & Demons?,207839,435,English,USA,150000000,2009,6.7,2.35
516,181015141,Action|Adventure|Fantasy,Thor?,536314,738,English,USA,150000000,2011,7,2.35
225,114053579,Adventure|Animation|Comedy|Drama|Family,Bolt?,146766,178,English,USA,150000000,2008,6.9,1.85
145,119420252,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,G-Force?,33042,90,English,USA,150000000,2009,5.1,2.35
310,83640426,Action|Adventure|Fantasy,Wrath of the Titans?,152826,253,English,USA,150000000,2012,5.8,1.85
526,79711678,Comedy|Fantasy|Horror,Dark Shadows?,199039,479,English,USA,100000000,2012,6.2,1.85
465,195000874,Action|Adventure|Thriller,Mission: Impossible - Rogue Nation?,232187,440,English,China,150000000,2015,7.4,2.35
357,61937495,Drama|Fantasy|Horror|Thriller,The Wolfman?,89442,432,English,USA,150000000,2010,5.8,1.85
248,124051759,Action|Adventure|Drama|Romance,The Legend of Tarzan?,42372,239,English,USA,180000000,2016,6.6,2.35
194,126597121,Adventure|Animation|Comedy|Family,Bee Movie?,105902,206,English,USA,150000000,2007,6.2,1.85
284,165230261,Action|Adventure|Animation|Comedy|Family,Kung Fu Panda 2?,182718,209,English,USA,150000000,2011,7.3,2.35
280,131564731,Action|Adventure|Family|Fantasy,The Last Airbender?,118951,1382,English,USA,150000000,2010,4.2,2.35
310,133382309,Action|Adventure|Thriller,Mission: Impossible III?,256695,871,English,USA,150000000,2006,6.9,2.35
339,73103784,Action|Drama|Thriller,White House Down?,164238,434,English,USA,150000000,2013,6.4,2.35
132,21379315,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Mars Needs Moms?,17590,112,English,USA,150000000,2011,5.4,2.35
135,64459316,Adventure|Animation|Comedy|Family,Flushed Away?,85086,122,English,UK,149000000,2006,6.7,1.85
256,34964818,Adventure|Family|Fantasy,Pan?,39956,186,English,USA,150000000,2015,5.8,2.35
196,111505642,Adventure|Animation|Comedy|Family|Sci-Fi,Mr. Peabody & Sherman?,47900,130,English,USA,145000000,2014,6.9,1.85
220,133228348,Adventure,Troy?,381672,1694,English,USA,175000000,2004,7.2,2.35
211,216366733,Adventure|Animation|Comedy|Family,Madagascar 3: Europe's Most Wanted?,119213,154,English,USA,145000000,2012,6.9,1.85
264,160201106,Action|Adventure|Thriller,Die Another Day?,169914,1185,English,UK,142000000,2002,6.1,2.35
464,118099659,Action|Comedy|Fantasy|Sci-Fi,Ghostbusters?,69757,1211,English,USA,144000000,2016,5.5,2.35
167,201573391,Action|Adventure|Sci-Fi|Thriller,Armageddon?,322395,1171,English,USA,140000000,1998,6.6,2.35
208,190418803,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,Men in Black II?,270207,606,English,USA,140000000,2002,6.1,1.85
287,82161969,Action|Adventure|Animation|Fantasy,Beowulf?,142440,505,English,USA,150000000,2007,6.3,2.35
210,143523463,Action|Adventure|Animation|Comedy|Family,Kung Fu Panda 3?,64322,145,English,USA,145000000,2016,7.2,2.35
432,209364921,Action|Adventure|Thriller,Mission: Impossible - Ghost Protocol?,365104,512,English,USA,145000000,2011,7.4,2.35
256,103400692,Adventure|Animation|Family|Fantasy,Rise of the Guardians?,123553,174,English,USA,145000000,2012,7.3,1.85
135,110332737,Comedy|Crime,Fun with Dick and Jane?,110788,258,English,USA,100000000,2005,6.1,2.35
190,111110575,Action|Drama|History|War,The Last Samurai?,317166,928,English,USA,140000000,2003,7.7,2.35
314,65007045,Action|Adventure|Drama,Exodus: Gods and Kings?,128682,657,English,UK,140000000,2014,6.1,2.35
518,257704099,Action|Adventure|Sci-Fi,Star Trek?,504419,1559,English,USA,150000000,2009,8,2.35
291,403706375,Action|Adventure|Fantasy|Romance,Spider-Man?,544665,2012,English,USA,139000000,2002,7.3,1.85
292,176997107,Action|Adventure|Animation|Comedy|Family|Fantasy,How to Train Your Dragon 2?,221128,343,English,USA,145000000,2014,7.9,2.35
184,31141074,Action|Adventure|Fantasy,Gods of Egypt?,51892,273,English,USA,140000000,2016,5.5,2.35
145,31704416,Action|Adventure|Sci-Fi|Thriller,Stealth?,45455,388,English,USA,135000000,2005,5,2.35
451,107503316,Action|Drama|Mystery|Sci-Fi,Watchmen?,392474,1229,English,USA,130000000,2009,7.7,2.35
141,129734803,Action|Crime|Thriller,Lethal Weapon 4?,127497,287,English,USA,140000000,1998,6.6,2.35
267,132122995,Action|Sci-Fi,Hulk?,212106,1445,English,USA,137000000,2003,5.7,1.85
351,122512052,Action|Adventure|Sci-Fi|Thriller,G.I. Joe: Retaliation?,146352,288,English,USA,130000000,2013,5.8,2.35
163,68642452,Action|Adventure|Comedy|Thriller,Sahara?,77673,463,English,UK,130000000,2005,6,2.35
166,32131830,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,Final Fantasy: The Spirits Within?,72259,788,English,USA,137000000,2001,6.4,1.85
510,176636816,Action|Adventure|Sci-Fi,Captain America: The First Avenger?,508818,679,English,USA,140000000,2011,6.9,2.35
197,126930660,Action|Adventure|Thriller,The World Is Not Enough?,157519,683,English,UK,135000000,1999,6.4,2.35
244,93926386,Action|Adventure|Drama|History|War,Master and Commander: The Far Side of the World?,168207,684,English,USA,150000000,2003,7.4,2.35
322,292298923,Adventure|Drama|Fantasy|Romance,The Twilight Saga: Breaking Dawn - Part 2?,185394,329,English,USA,120000000,2012,5.5,2.35
156,63992328,Animation|Comedy|Family|Musical,Happy Feet 2?,32399,79,English,Australia,135000000,2011,5.9,2.35
354,134518390,Action|Adventure|Sci-Fi,The Incredible Hulk?,326286,643,English,USA,150000000,2008,6.8,2.35
252,52792307,Adventure|Family|Fantasy,The BFG?,12572,106,English,UK,140000000,2016,6.8,2.35
556,183635922,Adventure|Drama|Thriller|Western,The Revenant?,406020,1188,English,USA,135000000,2015,8.1,2.35
166,83024900,Adventure|Animation|Comedy|Family|Sport,Turbo?,62424,90,English,USA,135000000,2013,6.5,2.35
362,123207194,Adventure|Animation|Comedy|Family|Western,Rango?,183208,337,English,USA,135000000,2011,7.2,2.35
153,83348920,Adventure|Animation|Comedy|Family,Penguins of Madagascar?,60230,118,English,USA,132000000,2014,6.7,1.85
329,227137090,Action|Mystery|Thriller,The Bourne Ultimatum?,491077,820,English,USA,110000000,2007,8.1,2.35
266,215395021,Action|Adventure|Animation|Comedy|Family,Kung Fu Panda?,307029,360,English,USA,130000000,2008,7.6,2.35
517,180191634,Action|Adventure|Comedy|Sci-Fi,Ant-Man?,313866,549,English,USA,130000000,2015,7.4,1.85
502,424645577,Adventure|Sci-Fi|Thriller,The Hunger Games: Catching Fire?,498397,706,English,USA,130000000,2013,7.6,2.35
322,292298923,Adventure|Drama|Fantasy|Romance,The Twilight Saga: Breaking Dawn - Part 2?,185394,329,English,USA,120000000,2012,5.5,2.35
165,177343675,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Home?,70121,214,English,USA,135000000,2015,6.7,1.85
401,234277056,Adventure|Sci-Fi|Thriller,War of the Worlds?,334345,2741,English,USA,132000000,2005,6.5,1.85
94,138396624,Action|Comedy|Crime|Thriller,Bad Boys II?,178126,511,English,USA,130000000,2003,6.6,2.35
246,149234747,Action|Adventure|Animation|Comedy|Family|Fantasy,Puss in Boots?,114287,137,English,USA,130000000,2011,6.7,2.35
330,118311368,Action|Crime|Mystery|Thriller,Salt?,245621,514,English,USA,110000000,2010,6.4,2.35
434,101160529,Action|Adventure|Drama,Noah?,200022,1240,English,USA,125000000,2014,5.8,1.85
440,77564037,Action|Adventure|Family|Mystery,The Adventures of Tintin?,177383,447,English,USA,135000000,2011,7.4,2.35
274,249358727,Adventure|Family|Fantasy|Mystery,Harry Potter and the Prisoner of Azkaban?,382255,1504,English,UK,130000000,2004,7.8,2.35
245,49551662,Adventure|Drama|Romance|War,Australia?,102338,450,English,Australia,130000000,2008,6.6,2.35
349,60522097,Action|Adventure|Sci-Fi,After Earth?,158720,744,English,USA,130000000,2013,4.9,2.35
145,137748063,Adventure|Animation|Family|Thriller,Dinosaur?,38438,241,English,USA,127500000,2000,6.5,1.85
154,113733726,Adventure|Comedy|Family|Fantasy,Night at the Museum: Secret of the Tomb?,67223,126,English,USA,127000000,2014,6.2,1.85
233,148337537,Action|Animation|Comedy|Family|Sci-Fi,Megamind?,172754,187,English,USA,130000000,2010,7.3,2.35
258,317557891,Adventure|Family|Fantasy,Harry Potter and the Sorcerer's Stone?,444683,1571,English,UK,125000000,2001,7.5,2.35
208,33592415,Action|Comedy|Fantasy,R.I.P.D.?,91640,210,English,USA,130000000,2013,5.6,2.35
271,305388685,Action|Adventure|Fantasy,Pirates of the Caribbean: The Curse of the Black Pearl?,809474,2113,English,USA,140000000,2003,8.1,2.35
403,337103873,Adventure|Sci-Fi|Thriller,The Hunger Games: Mockingjay - Part 1?,305008,591,English,USA,125000000,2014,6.7,2.35
294,217536138,Mystery|Thriller,The Da Vinci Code?,314253,1966,English,USA,125000000,2006,6.6,2.35
159,131536019,Adventure|Animation|Comedy|Family|Musical,Rio 2?,58498,99,English,USA,103000000,2014,6.4,2.35
289,214948780,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men 2?,405973,1055,English,Canada,110000000,2003,7.5,2.35
342,209805005,Action|Crime|Thriller,Fast Five?,284792,366,English,USA,125000000,2011,7.3,2.35
382,186830669,Action|Adventure|Crime|Mystery|Thriller,Sherlock Holmes: A Game of Shadows?,338635,412,English,USA,125000000,2011,7.5,2.35
344,163192114,Action|Adventure|Fantasy,Clash of the Titans?,229679,637,English,USA,125000000,2010,5.8,2.35
196,119412921,Action|Sci-Fi,Total Recall?,240241,391,English,USA,65000000,1990,7.5,1.85
85,32694788,Action|Adventure|History,The 13th Warrior?,101411,546,English,USA,85000000,1999,6.6,2.35
436,113165635,Action|Adventure|Thriller,The Bourne Legacy?,229823,504,English,USA,125000000,2012,6.7,2.35
183,107285004,Action,Batman & Robin?,189855,1018,English,USA,125000000,1997,3.7,1.85
175,260031035,Comedy|Family|Fantasy,How the Grinch Stole Christmas?,141414,482,English,USA,123000000,2000,6,1.85
239,186739919,Action|Adventure|Sci-Fi|Thriller,The Day After Tomorrow?,333248,1159,English,USA,125000000,2004,6.4,2.35
237,215397307,Action|Adventure|Thriller,Mission: Impossible II?,242188,1426,English,USA,125000000,2000,6.1,2.35
231,182618434,Action|Adventure|Drama|Thriller,The Perfect Storm?,133076,779,English,USA,140000000,2000,6.4,2.35
262,131920333,Action|Adventure|Sci-Fi|Thriller,Fantastic 4: Rise of the Silver Surfer?,213275,436,English,USA,130000000,2007,5.6,2.35
552,124976634,Adventure|Drama|Fantasy,Life of Pi?,440084,755,English,USA,120000000,2012,8,1.85
276,115802596,Action|Fantasy|Thriller,Ghost Rider?,182661,681,English,USA,110000000,2007,5.2,2.35
267,108521835,Action|Thriller,Jason Bourne?,40123,297,English,UK,120000000,2016,7.1,2.35
102,100685880,Action|Adventure|Comedy|Crime,Charlie's Angels: Full Throttle?,100821,554,English,USA,120000000,2003,4.8,2.35
775,126464904,Adventure|Mystery|Sci-Fi,Prometheus?,456260,2326,English,USA,130000000,2012,7,2.35
71,64736114,Adventure|Animation|Comedy|Family|Fantasy,Stuart Little 2?,36471,69,English,USA,120000000,2002,5.4,1.85
476,93050117,Action|Drama|Sci-Fi|Thriller,Elysium?,338087,814,English,USA,115000000,2013,6.6,2.35
207,57637485,Action|Adventure|Sci-Fi|Thriller,The Chronicles of Riddick?,183909,666,English,USA,105000000,2004,6.7,2.35
492,58607007,Action|Crime|Sci-Fi|Thriller,RoboCop?,182899,630,English,USA,100000000,2014,6.2,2.35
284,43929341,Action|Family|Sport,Speed Racer?,57873,414,English,USA,120000000,2008,6.1,2.35
168,30212620,Comedy|Drama|Romance,How Do You Know?,35066,196,English,USA,120000000,2010,5.3,1.85
283,76418654,Action|Comedy|Romance,Knight and Day?,148280,348,English,USA,117000000,2010,6.3,2.35
539,89021735,Action|Adventure|Mystery|Sci-Fi,Oblivion?,387436,892,English,USA,120000000,2013,7,2.35
359,380262555,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode III - Revenge of the Sith?,520104,3286,English,USA,113000000,2005,7.6,2.35
284,310675583,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode II - Attack of the Clones?,464310,3516,English,USA,115000000,2002,6.7,1.78
250,289907418,Adventure|Animation|Comedy|Family|Fantasy,"Monsters, Inc.?",585659,593,English,USA,115000000,2001,8.1,1.85
440,132550960,Action|Adventure|Sci-Fi|Thriller,The Wolverine?,328067,533,English,USA,120000000,2013,6.7,2.35
